wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
w9e4dd03,dog,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,False,2,intrusion,4085.100000023842,tar,742.6000000238419,4827.700000047684
w9e4dd03,bird,../static/stimuli/images/warehouse/sun_aibppakephiqqqrb.jpg,False,2,intrusion,1126.7999999523163,truck,774.2000000476837,1901.0
w9e4dd03,window,../static/stimuli/images/theater/sun_awkfdodvwaaleezx.jpg,False,2,intrusion,4471.099999904633,moon,878.8000000715256,5349.899999976158
w9e4dd03,jeans,../static/stimuli/images/volcano/sun_agobzgvhyhaxalcv.jpg,True,2,intrusion,3581.7000000476837,limb,8030.299999952316,11612.0
w9e4dd03,lawn,../static/stimuli/images/restaurant/sun_adozleohzzjtcftc.jpg,False,2,intrusion,1992.2000000476837,yard,1677.8999999761581,3670.100000023842
w9e4dd03,toilet,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,2,intrusion,4911.700000047684,deer,1685.7999999523163,6597.5
w9e4dd03,potato,../static/stimuli/images/campsite/sun_asbhlaoploqpjahx.jpg,False,2,intrusion,3567.0,drink,2214.5,5781.5
w9e4dd03,door,../static/stimuli/images/garage/sun_dswqerijtizeqkhu.jpg,False,2,intrusion,4903.200000047684,bot,1766.2999999523163,6669.5
w9e4dd03,fence,../static/stimuli/images/windmill/sun_awjnichhcaunlnrz.jpg,False,2,intrusion,7599.800000071526,beer,4814.199999928474,12414.0
w9e4dd03,sand,../static/stimuli/images/street/sun_avddlmbtwpvlxdol.jpg,False,2,other,2951.600000023842,water,862.2000000476837,3813.8000000715256
w9e4dd03,milk,../static/stimuli/images/castle/sun_apvtpjdfgucfbnsd.jpg,False,2,intrusion,5503.099999904633,loom,7502.400000095367,13005.5
w9e4dd03,volcano,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,2,intrusion,1815.2000000476837,pond,1238.7999999523163,3054.0
w9e4dd03,snake,../static/stimuli/images/railway/sun_avugyywnswogxvlh.jpg,False,2,correct,1125.8999999761581,snake,2574.7999999523163,3700.6999999284744
w9e4dd03,horse,../static/stimuli/images/ziggurat/sun_aecdvzqgcesggjrp.jpg,False,2,other,9813.399999976158,ferret,1406.7000000476837,11220.100000023842
w9e4dd03,hay,../static/stimuli/images/vineyard/sun_aicvecccjhfzcjnt.jpg,False,2,intrusion,7055.600000023842,horse,870.3999999761581,7926.0
w9e4dd03,cat,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,2,intrusion,2775.100000023842,bird,10893.700000047684,13668.800000071526
w9e4dd03,bear,../static/stimuli/images/musuem/sun_ayrwspiydnlwhouo.jpg,False,2,intrusion,1655.2999999523163,fence,862.5,2517.7999999523163
w9e4dd03,apple,../static/stimuli/images/auditorium/sun_ahwuhefoqkvitxnk.jpg,False,2,other,6031.699999928474,turtle,1302.2000000476837,7333.899999976158
