wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
wca3807d,goddess,../static/stimuli/images/laundryroom/sun_acnrhsgylwftewpq.jpg,False,1,1,2301,goddess,2300.300000011921,correct
wca3807d,magazine,../static/stimuli/images/sky/sun_awdlpzaohypbcfjk.jpg,False,1,1,5319,yellow,5318.300000011921,other
wca3807d,hero,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,1,1,3917,hero,3915.899999976158,correct
wca3807d,pillow,../static/stimuli/images/restaurant/sun_agxfoksoiibofpna.jpg,False,1,1,4246,yellow,4245.0,other
wca3807d,traitor,../static/stimuli/images/warehouse/sun_ainoacwsquefrlbr.jpg,False,1,1,5045,yellow,5043.800000011921,other
wca3807d,ear,../static/stimuli/images/railway/sun_aqlgoveofhhmvrdh.jpg,False,1,1,2269,yellow,2267.900000035763,other
wca3807d,jeans,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,1,1,2382,yellow,2380.300000011921,other
wca3807d,rouge,../static/stimuli/images/volcano/sun_axyqizdexdgrtfie.jpg,False,1,1,2782,rouge,2780.400000035763,correct
wca3807d,crook,../static/stimuli/images/musuem/sun_aspbwvercyqvrrkn.jpg,False,1,1,7973,thief,7971.800000011921,other
wca3807d,volunteer,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,False,1,2,3142,yellow,3140.0,other
wca3807d,atom,../static/stimuli/images/subway/sun_akifaegxlwcrziyq.jpg,False,1,1,3821,yellow,3820.100000023842,other
wca3807d,tiger,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,False,1,2,3021,tiger,3019.900000035763,correct
wca3807d,society,../static/stimuli/images/street/sun_aqzrscvtljhimvtf.jpg,False,1,1,3342,yellow,3340.5,other
wca3807d,keeper,../static/stimuli/images/underwater/sun_axctpftepdlenuoo.jpg,False,1,1,8861,traitor,8859.599999964237,other
wca3807d,gravel,../static/stimuli/images/waterfall/sun_bbvrdmjbnzoaqrmp.jpg,False,1,1,3111,traitor,3109.199999988079,other
wca3807d,atom,../static/stimuli/images/subway/sun_akifaegxlwcrziyq.jpg,False,2,1,1678,atom,1677.199999988079,correct
